dataset,epoch,train_loss,validation_loss,validation_precision@20,validation_mrr@20,epoch_seconds,train_examples,validation_examples,test_examples,model,iteration,folder,learning_rate
Yoochoose 1/64,1,5.52678237298887,4.724837388511411,64.66405299445721,28.64625537042539,153.6802110671997,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,2,4.455920257396576,4.5140565154970504,67.45978099229417,30.06837022551108,148.08349680900574,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,3,4.202007081320881,4.4426423639192025,68.46829795863188,30.68909829059646,147.95014643669128,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,4,3.773314566964549,4.346335691875165,69.63633905637421,32.41114188484748,149.07961535453796,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,5,3.679782750941925,4.353763029416445,69.57955928078951,32.5678162666951,148.78868985176086,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,6,3.631526361632012,4.3697217966682835,69.40381235636069,32.55382622418024,149.85629892349243,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,7,3.5512392237931367,4.372957085344749,69.51737190753008,32.69581252599997,148.98286199569702,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,8,3.544689814354246,4.3770604513296485,69.50655671218061,32.68432615124665,149.01893544197085,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,9,3.5391987971977836,4.380861683505539,69.47411112613221,32.70574200196864,149.05567741394043,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,10,3.5290612636153424,4.381284416632441,69.47140732729486,32.69554642030995,148.6846559047699,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,11,3.528883732216745,4.381708803701613,69.46870352845748,32.69535717584482,149.40907287597656,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,12,3.5281074353282387,4.382147813046383,69.46059213194539,32.696120300953076,149.9637746810913,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,13,3.527125432967647,4.38220624980434,69.46059213194539,32.69411566387371,152.6419746875763,332874,36985,55898,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,14,3.5271310834064633,4.382264580261841,69.46059213194539,32.69398194576448,149.77074480056763,332874,36985,55898,GAT-SR-GNN,1,results-1,
Diginetica,1,7.018441523177412,5.790299360897284,46.85393414596856,14.958875826510706,290.6954984664917,647523,71947,60858,GAT-SR-GNN,1,results-1,
Diginetica,2,5.425443090392417,5.496361985949494,50.72066938162814,16.594797587967008,291.6780939102173,647523,71947,60858,GAT-SR-GNN,1,results-1,
Diginetica,3,5.122350801665071,5.434969385826744,51.892365213282,17.016038215057478,291.27466440200806,647523,71947,60858,GAT-SR-GNN,1,results-1,
Diginetica,4,4.310334683884382,5.241746233414514,55.79523816142438,19.413401246881087,294.19715881347656,647523,71947,60858,GAT-SR-GNN,1,results-1,
Diginetica,5,4.082386050827704,5.298398476574044,55.31432860299943,19.300478224853947,292.7564764022827,647523,71947,60858,GAT-SR-GNN,1,results-1,
Diginetica,6,3.9629410821312465,5.3695292639987855,54.766703267683155,19.245341459483697,292.453147649765,647523,71947,60858,GAT-SR-GNN,1,results-1,
Diginetica,7,3.761363442731781,5.39988849392603,54.81535018833308,19.334348695847183,294.19405817985535,647523,71947,60858,GAT-SR-GNN,1,results-1,
Diginetica,8,3.739375411358895,5.421262860591429,54.67635898647615,19.312235263445523,297.04865741729736,647523,71947,60858,GAT-SR-GNN,1,results-1,
Diginetica,9,3.722141748170401,5.439467803527942,54.57767523315774,19.28039675884148,293.4633369445801,647523,71947,60858,GAT-SR-GNN,1,results-1,
Yoochoose 1/64,1,5.59936738592802,4.68835135300417,65.10477220494795,28.72407479754844,742.4127397537231,332874,36985,55898,GAT-TAGNN,1,results-1,0.001
Yoochoose 1/64,2,4.424656418028685,4.4713277184384665,67.97079897255644,30.352071880955815,747.1610100269318,332874,36985,55898,GAT-TAGNN,1,results-1,0.001
Yoochoose 1/64,3,4.160996407663828,4.418677242217683,68.52507773421658,30.77641559191873,745.900689125061,332874,36985,55898,GAT-TAGNN,1,results-1,0.0001
Yoochoose 1/64,4,3.732569981846973,4.337952031208661,69.72286061916994,32.50507573912526,744.328516960144,332874,36985,55898,GAT-TAGNN,1,results-1,0.0001
Yoochoose 1/64,5,3.6420346421056378,4.354380340854655,69.62552386102475,32.603703145966655,743.8379802703857,332874,36985,55898,GAT-TAGNN,1,results-1,0.0001
Yoochoose 1/64,6,3.5931586683775225,4.3689548275962915,69.5714478842774,32.577070948141916,742.3699436187744,332874,36985,55898,GAT-TAGNN,1,results-1,1e-05
Yoochoose 1/64,7,3.515608201601372,4.383803273304517,69.57955928078951,32.6650949147838,744.7372238636017,332874,36985,55898,GAT-TAGNN,1,results-1,1e-05
Yoochoose 1/64,8,3.5074960890692792,4.387954197301242,69.54170609706638,32.650506376849485,743.440712928772,332874,36985,55898,GAT-TAGNN,1,results-1,1e-05
Yoochoose 1/64,9,3.503211723322583,4.391791336920289,69.49033391915641,32.65989680829782,742.1037421226501,332874,36985,55898,GAT-TAGNN,1,results-1,1.0000000000000002e-06
Yoochoose 1/64,10,3.4937780269039447,4.3929237779836745,69.49033391915641,32.66876621408786,743.0230147838593,332874,36985,55898,GAT-TAGNN,1,results-1,1.0000000000000002e-06
Yoochoose 1/64,11,3.492397067457128,4.393813098364945,69.49033391915641,32.665629168370295,742.0366022586823,332874,36985,55898,GAT-TAGNN,1,results-1,1.0000000000000002e-06
Yoochoose 1/64,12,3.492077862996442,4.394290055425421,69.47140732729486,32.66539485096464,744.0188088417053,332874,36985,55898,GAT-TAGNN,1,results-1,1.0000000000000002e-07
Yoochoose 1/64,13,3.491201641460229,4.394338903933808,69.46329593078275,32.66278357542543,743.3167960643768,332874,36985,55898,GAT-TAGNN,1,results-1,1.0000000000000002e-07
Yoochoose 1/64,14,3.491533687208873,4.394418004236948,69.46599972962012,32.66152850031546,744.1214499473572,332874,36985,55898,GAT-TAGNN,1,results-1,1.0000000000000002e-07
Yoochoose 1/64,15,3.4911118068789726,4.394503925174447,69.46870352845748,32.66358986535201,746.5983505249023,332874,36985,55898,GAT-TAGNN,1,results-1,1.0000000000000004e-08
Diginetica,1,7.067118849428188,5.702994800133227,47.775445814279955,15.691886204073445,1329.3739371299744,647523,71947,60858,GAT-TAGNN,1,results-1,0.001
Diginetica,2,5.341252739006488,5.414572731022679,51.600483689382465,17.454764388564502,1330.7214758396149,647523,71947,60858,GAT-TAGNN,1,results-1,0.001
Diginetica,3,5.039085444281953,5.3816496961080045,52.41080239620832,17.886824310070292,1330.307447195053,647523,71947,60858,GAT-TAGNN,1,results-1,0.0001
Diginetica,4,4.279384154990718,5.232803288027299,55.7493710648116,19.65077164118548,1327.0688934326172,647523,71947,60858,GAT-TAGNN,1,results-1,0.0001
Diginetica,5,4.056065849673884,5.28523794421378,55.521425493766245,19.56053425283603,1327.4199805259705,647523,71947,60858,GAT-TAGNN,1,results-1,0.0001
Diginetica,6,3.941474030324686,5.382955404385511,55.03634619928558,19.46744202377848,1325.633210659027,647523,71947,60858,GAT-TAGNN,1,results-1,1e-05
Diginetica,7,3.7445428573045234,5.433600091217759,54.96129095028285,19.4628201450654,1325.7442455291748,647523,71947,60858,GAT-TAGNN,1,results-1,1e-05
Diginetica,8,3.7251796698766246,5.4523367242938905,54.87372649311298,19.446683998695914,1326.4543137550354,647523,71947,60858,GAT-TAGNN,1,results-1,1e-05
Diginetica,9,3.711035879858081,5.467638646557026,54.823689660444494,19.40371767217685,1325.7330470085144,647523,71947,60858,GAT-TAGNN,1,results-1,1.0000000000000002e-06
Yoochoose 1/64,1,7.014476698625584,6.01989015966263,47.684196295795594,22.8703072478163,133.60911083221436,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,2,5.733701489240545,5.449027335561577,54.84655941597945,25.221137845775672,131.24769067764282,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,3,5.22563758358228,5.122033021217007,58.9995944301744,26.85180109159937,129.45663499832153,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,4,4.8466676846414725,4.91780356270116,61.87643639313235,28.570152175447433,129.47255039215088,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,5,4.715727642404063,4.833256564334355,63.02014330133838,29.145591635792357,129.71259570121765,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,6,4.618478315566169,4.759415262177681,64.00432607813978,29.592876096536973,128.7332260608673,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,7,4.4791535734575225,4.6886152235482115,65.12099499797215,30.48460274108829,128.4784963130951,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,8,4.435439939113906,4.665610257203279,65.5211572259024,30.450503416475257,129.82627749443054,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,9,4.397603415842373,4.642750285196195,65.66445856428281,30.651273713235003,128.45446181297302,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,10,4.32908676982451,4.61312501669349,66.19169933756929,31.04376558389183,129.83790254592896,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,11,4.3081367974185705,4.607326033051891,66.3755576585102,31.121490791035097,128.71939730644226,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,12,4.292680056825963,4.5943913927783475,66.43774503176964,31.132717026848077,128.01792287826538,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,13,4.254251579032848,4.589727763309662,66.51885899689063,31.26954066168381,127.6086859703064,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,14,4.246384754242906,4.585455028208523,66.66756793294579,31.487275969745244,140.8290228843689,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,15,4.23934754148989,4.581960814054292,66.61078815736109,31.432310111847897,141.32582330703735,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,16,4.217726253664298,4.577384421096004,66.77301608760308,31.513561951690257,129.87411069869995,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,17,4.213729652195023,4.574675619175132,66.79464647830201,31.521951114066116,130.3034734725952,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,18,4.209246005028819,4.574321949048446,66.78923888062728,31.548493759074823,128.6174385547638,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,19,4.20031924671385,4.572505517023326,66.77301608760308,31.5872798288966,128.79490971565247,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,20,4.196843634981825,4.57162973522028,66.77571988644046,31.587924887654715,129.59027910232544,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,21,4.195415437400946,4.5710472541031395,66.81357307016359,31.559262710825017,129.1960952281952,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,22,4.190325304873089,4.570128487399644,66.84061105853725,31.611827537306613,129.86934995651245,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,23,4.188229082616787,4.56938650003072,66.84872245504934,31.62985831221101,129.85006880760193,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,24,4.188234274499824,4.568736353355017,66.88387183993511,31.650340224788593,129.93790793418884,332874,36985,55898,GAT-SR-GNN,2,results-2,
Yoochoose 1/64,25,4.1828592041845685,4.568917219487657,66.86494524807354,31.637893961429015,129.7001395225525,332874,36985,55898,GAT-SR-GNN,2,results-2,
